ʵ�����,���,ʵ������,����ͼFID,��ǩͼFID,Ԥѵ�����,��ʽѵ�����,����ʱ��,PSNR,SSIM,EMD,NRMS,ROC,PRC,��ע
SegmTransformer,69,Mon Aug 21 21:05:03 2023,0,0,50000,50000,0h 7min 40.96937441825867second,27.50313404545551,0.779984891276107,0.0025954824482595875,0.047309282582038245,0.7437732053220225,1.1949537988990915,"CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍,lr=0.00005"
SegmTransformer,70,Mon Aug 21 22:02:41 2023,0,0,50000,50000,0h 5min 19.594706058502197second,27.47282210659442,0.7785348908104561,0.0025744097196648908,0.04764520229952212,0.7435701154022218,0.6481130852648536,"CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充两倍,lr=0.00005"
SegmTransformer,71,Tue Aug 22 11:41:39 2023,174.36385048982072,177.75379954556283,50000,50000,2h 0min 6.653555631637573second,25.608631172144825,0.7603297472457916,0.005401105027735309,0.05555892732441118,0.6207731068420173,5.658932610240515,CircuitNet-28数集，tiny模型，epoch=20，训练生成数据预训练模型，扩充3倍
SegmTransformer,73,Tue Aug 22 15:27:56 2023,0,0,50000,50000,0h 9min 10.193373680114746second,27.155676886192342,0.784712986134014,0.002756478022383679,0.048436324228009794,0.7361042172822077,0.7511549580441346,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充3倍
SegmTransformer,72,Tue Aug 22 15:23:24 2023,174.35258798485657,177.7468574327333,50000,50000,0h 46min 7.568696975708008second,25.50934710925278,0.7597238157740747,0.005518138031893223,0.05598878582619056,0.601472771419238,0.6616627111142891,CircuitNet-28数集，tiny模型，epoch=20，训练生成数据预训练模型，扩充4倍
SegmTransformer,74,Tue Aug 22 22:52:35 2023,0,0,50000,50000,0h 5min 14.038667917251587second,27.45121582493432,0.780876638564843,0.0028735450863386076,0.04732191793036166,0.7372196544822721,0.8138132376162694,CircuitNet-28数集，tinyeh=20，加载生成数据预训练模型，扩充4倍
CGAN,1,Tue Aug 22 23:11:06 2023,0,0,50000,50000,23.414473276658416,0.6643798061750235,0.004658805321803135,0.08688581020016399,0.7166404733170954,-85269.09450443937,test
CGAN,1,Fri Aug 25 21:11:23 2023,0,0,50000,50000,23.267943810850003,0.6580281514116962,0.004509603969668016,0.08188015447051832,0.7088690719581386,533.8634716742912,test
SegmTransformer,78,Sat Aug 26 14:38:17 2023,0,0,50000,50000,0h 4min 58.42508673667908second,27.174531274994763,0.7840305104053252,0.00275963590057701,0.04848581858495842,0.7341257921000016,0.7598974737276181,CircuitNet-28数集，tinyeh=20，加载预训练模型
SegmTransformer,79,Tue Aug 29 20:25:18 2023,0,0,50000,50000,0h 4min 51.83904767036438second,18.38592156737403,0.012731798498453026,0.001921152684239461,0.12476453765994576,0.499460638052201,0.456723590313357,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采用bias_loss"
SegmTransformer,80,Tue Aug 29 22:48:54 2023,0,0,50000,50000,0h 6min 48.127846002578735second,18.379251824925664,0.012217806497094945,0.002040646810145806,0.12485408072913243,0.49999677451095853,0.9796220314839295,"CircuitNet-28数集，tinyeh=20，加载生成预训练模型,采用bias_loss"
SegmTransformer,81,Tue Aug 29 23:59:06 2023,0,0,50000,50000,0h 4min 51.77157807350159second,18.379228353903898,0.012217802749226675,0.0020409851475099547,0.12485441675845887,0.0,0.5594681306976435,"CircuitNet-28数集，tinyeh=20，加载生成预训练模型,采用bias_loss"
SegmTransformer,82,Wed Aug 30 23:42:45 2023,0,0,50000,50000,0h 8min 48.9475314617157second,27.633002594977803,0.7878173178569098,0.0025468226404467362,0.046326310803398954,0.7513746131225244,0.7771021560204098,"CircuitNet-28数集，tinyeh=20，加载生成预训练模型,采用bias_loss"
SegmTransformer,83,Thu Aug 31 14:35:33 2023,0,0,50000,50000,0h 5min 22.36156177520752second,27.744449593409456,0.7878639798025789,0.0024006550215589714,0.04587064747688099,0.7412854628809311,0.7826318964715452,"CircuitNet-28数集，tinyeh=20，加载生成预训练模型,采用bias_loss"
SegmTransformer,84,Fri Sep  1 00:09:47 2023,0,0,50000,50000,0h 5min 18.268086910247803second,25.063993908946717,0.7499475141032533,0.004622542074447034,0.061151269421564,0.6835449947519614,0.7496243798414451,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采生成用bias_loss，改进加权"
SegmTransformer,85,Fri Sep  1 00:19:38 2023,0,0,50000,50000,0h 5min 38.53142499923706second,24.30983942472845,0.7391602838894538,0.004866701085709139,0.06611431051810654,0.6778946031360613,0.7352048321465274,"CircuitNet-28数集，tinyeh=20，加载生成预训练模型,采用bias_loss，改进weight，权重系数乘10"
SegmTransformer,86,Sat Sep  2 00:18:10 2023,0,0,50000,50000,0h 21min 43.96714472770691second,1.0608937846595297,0.17613196957360372,0.0020282094834275853,0.8857493632990173,4.056343825329895e-05,0.5594739328264415,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采生成用bias_loss，改进加权，k=31.22，b=0.2952，epoch=50"
SegmTransformer,87,Sat Sep  2 20:45:15 2023,0,0,50000,50000,0h 12min 41.19004034996033second,27.623371081391905,0.7832676368744594,0.0028056917916959817,0.046776417769248055,0.727101083587445,0.7692455822396064,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采用HuberLoss，epoch=50"
SegmTransformer,88,Sat Sep  2 21:24:04 2023,0,0,50000,50000,0h 4min 58.9008686542511second,27.69798587371632,0.7896326567013577,0.002015959560946478,0.04639604691130094,0.7483738418048976,0.7765042334197262,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采用HuberLoss，epoch=20"
SegmTransformer,89,Sat Sep  2 22:05:58 2023,0,0,50000,50000,0h 5min 5.237758159637451second,27.552737263206158,0.7882935311303239,0.0027232385239317806,0.04702404874852931,0.7481689914175856,0.7815545148771273,"CircuitNet-28数集，tinyeh=20，加载预训练模型,采用HuberLoss，epoch=20"
